EmployeeID|TargetAmount|TargetMonth
234474252|500000|2020/07/01
234474252|500000|2020/08/01
234474252|500000|2020/10/01
234474252|500000|2020/11/01
399771412|500000|2020/06/01
399771412|500000|2020/07/01
399771412|500000|2020/08/01
399771412|500000|2020/10/01
399771412|500000|2020/11/01
668991357|500000|2020/02/01
668991357|500000|2020/03/01
668991357|500000|2020/12/01
716374314|500000|2020/12/01
841560125|500000|2020/03/01
841560125|500000|2020/07/01
841560125|500000|2020/08/01
841560125|500000|2020/09/01
841560125|500000|2020/10/01
841560125|500000|2020/11/01
841560125|500000|2020/12/01
982310417|500000|2020/01/01
982310417|500000|2020/02/01
982310417|500000|2020/03/01
982310417|500000|2020/10/01
982310417|500000|2020/12/01
987554265|500000|2020/05/01
987554265|500000|2020/10/01
987554265|500000|2020/11/01
90836195|500000|2021/01/01
90836195|500000|2021/02/01
90836195|500000|2021/03/01
90836195|500000|2021/04/01
90836195|500000|2021/05/01
90836195|500000|2021/06/01
134219713|500000|2021/02/01
134219713|500000|2021/03/01
134219713|500000|2021/04/01
134219713|500000|2021/05/01
134219713|500000|2021/06/01
139397894|500000|2021/01/01
139397894|500000|2021/02/01
139397894|500000|2021/03/01
139397894|500000|2021/12/01
191644724|500000|2021/01/01
191644724|500000|2021/02/01
234474252|500000|2021/02/01
234474252|500000|2021/03/01
234474252|500000|2021/04/01
234474252|500000|2021/05/01
234474252|500000|2021/06/01
234474252|500000|2021/07/01
234474252|500000|2021/08/01
234474252|500000|2021/10/01
234474252|500000|2021/11/01
399771412|500000|2021/01/01
399771412|500000|2021/02/01
399771412|500000|2021/03/01
399771412|500000|2021/04/01
399771412|500000|2021/05/01
399771412|500000|2021/06/01
615389812|500000|2021/03/01
615389812|500000|2021/04/01
615389812|500000|2021/05/01
615389812|500000|2021/06/01
615389812|500000|2021/07/01
615389812|500000|2021/08/01
615389812|500000|2021/09/01
615389812|500000|2021/10/01
615389812|500000|2021/11/01
615389812|500000|2021/12/01
668991357|500000|2021/02/01
668991357|500000|2021/03/01
716374314|500000|2021/07/01
716374314|500000|2021/08/01
716374314|500000|2021/09/01
716374314|500000|2021/10/01
716374314|500000|2021/11/01
716374314|500000|2021/12/01
841560125|500000|2021/01/01
841560125|500000|2021/02/01
841560125|500000|2021/03/01
841560125|500000|2021/04/01
841560125|500000|2021/07/01
841560125|500000|2021/08/01
841560125|500000|2021/09/01
841560125|500000|2021/10/01
841560125|500000|2021/11/01
841560125|500000|2021/12/01
982310417|500000|2021/01/01
982310417|500000|2021/02/01
982310417|500000|2021/03/01
987554265|500000|2021/01/01
987554265|500000|2021/02/01
987554265|500000|2021/03/01
987554265|500000|2021/04/01
987554265|500000|2021/05/01
987554265|500000|2021/06/01
61161660|200000|2017/07/01
90836195|200000|2017/08/01
139397894|200000|2017/08/01
191644724|200000|2017/10/01
234474252|200000|2017/08/01
399771412|200000|2017/08/01
615389812|200000|2017/11/01
615389812|200000|2017/12/01
716374314|200000|2017/08/01
987554265|200000|2017/08/01
61161660|200000|2018/01/01
61161660|200000|2018/04/01
90836195|200000|2018/02/01
139397894|200000|2018/02/01
139397894|200000|2018/04/01
191644724|200000|2018/04/01
234474252|200000|2018/03/01
234474252|200000|2018/05/01
399771412|200000|2018/03/01
399771412|200000|2018/05/01
615389812|200000|2018/05/01
615389812|200000|2018/06/01
615389812|200000|2018/10/01
615389812|200000|2018/11/01
668991357|200000|2018/07/01
668991357|200000|2018/12/01
716374314|200000|2018/05/01
716374314|200000|2018/06/01
716374314|200000|2018/08/01
716374314|200000|2018/09/01
716374314|200000|2018/10/01
716374314|200000|2018/11/01
716374314|200000|2018/12/01
982310417|200000|2018/07/01
982310417|200000|2018/12/01
987554265|200000|2018/03/01
987554265|200000|2018/09/01
90836195|200000|2019/02/01
90836195|200000|2019/03/01
90836195|200000|2019/04/01
399771412|200000|2019/01/01
481044938|200000|2019/12/01
502097814|200000|2019/06/01
615389812|200000|2019/02/01
615389812|200000|2019/05/01
615389812|200000|2019/06/01
615389812|200000|2019/07/01
668991357|200000|2019/03/01
668991357|200000|2019/06/01
668991357|200000|2019/07/01
668991357|200000|2019/08/01
668991357|200000|2019/11/01
716374314|200000|2019/03/01
716374314|200000|2019/04/01
716374314|200000|2019/08/01
716374314|200000|2019/11/01
954276278|200000|2019/12/01
982310417|200000|2019/03/01
982310417|200000|2019/06/01
987554265|200000|2019/03/01
134219713|200000|2020/01/01
134219713|200000|2020/03/01
134219713|200000|2020/05/01
234474252|200000|2020/01/01
615389812|200000|2020/02/01
716374314|200000|2020/01/01
716374314|200000|2020/02/01
716374314|200000|2020/03/01
716374314|200000|2020/04/01
716374314|200000|2020/05/01
716374314|200000|2020/06/01
954276278|200000|2020/06/01
758596752|200000|2021/06/01
112432117|1000000|2017/09/01
112432117|1000000|2017/10/01
502097814|1000000|2017/09/01
502097814|1000000|2017/10/01
841560125|1000000|2017/11/01
841560125|1000000|2017/12/01
61161660|1000000|2018/03/01
61161660|1000000|2018/11/01
841560125|1000000|2018/11/01
841560125|1000000|2018/12/01
61161660|1000000|2019/10/01
61161660|1000000|2019/11/01
61161660|1000000|2019/12/01
112432117|1000000|2019/01/01
139397894|1000000|2019/07/01
191644724|1000000|2019/07/01
191644724|1000000|2019/08/01
982310417|1000000|2019/08/01
982310417|1000000|2019/09/01
987554265|1000000|2019/09/01
61161660|1000000|2020/10/01
61161660|1000000|2020/11/01
61161660|1000000|2020/12/01
139397894|1000000|2020/07/01
139397894|1000000|2020/09/01
191644724|1000000|2020/05/01
191644724|1000000|2020/07/01
191644724|1000000|2020/08/01
191644724|1000000|2020/09/01
191644724|1000000|2020/10/01
982310417|1000000|2020/05/01
982310417|1000000|2020/06/01
982310417|1000000|2020/08/01
982310417|1000000|2020/09/01
982310417|1000000|2020/11/01
987554265|1000000|2020/08/01
987554265|1000000|2020/09/01
61161660|1000000|2021/01/01
61161660|1000000|2021/02/01
61161660|1000000|2021/03/01
61161660|1000000|2021/04/01
61161660|1000000|2021/05/01
61161660|1000000|2021/10/01
61161660|1000000|2021/11/01
61161660|1000000|2021/12/01
139397894|1000000|2021/04/01
139397894|1000000|2021/05/01
139397894|1000000|2021/06/01
139397894|1000000|2021/07/01
139397894|1000000|2021/09/01
139397894|1000000|2021/10/01
139397894|1000000|2021/11/01
191644724|1000000|2021/03/01
191644724|1000000|2021/04/01
191644724|1000000|2021/05/01
191644724|1000000|2021/06/01
191644724|1000000|2021/07/01
191644724|1000000|2021/08/01
191644724|1000000|2021/09/01
191644724|1000000|2021/10/01
191644724|1000000|2021/11/01
191644724|1000000|2021/12/01
234474252|1000000|2021/09/01
234474252|1000000|2021/12/01
668991357|1000000|2021/05/01
668991357|1000000|2021/06/01
841560125|1000000|2021/05/01
841560125|1000000|2021/06/01
982310417|1000000|2021/04/01
982310417|1000000|2021/05/01
982310417|1000000|2021/06/01
90836195|250000|2018/09/01
90836195|250000|2018/10/01
134219713|250000|2018/09/01
615389812|250000|2018/07/01
615389812|250000|2018/09/01
987554265|250000|2018/10/01
139397894|250000|2019/01/01
234474252|250000|2019/01/01
399771412|250000|2019/12/01
841560125|250000|2019/01/01
90836195|250000|2020/07/01
90836195|250000|2020/10/01
134219713|250000|2020/07/01
134219713|250000|2020/09/01
134219713|250000|2020/10/01
134219713|250000|2020/12/01
399771412|250000|2020/01/01
399771412|250000|2020/12/01
481044938|250000|2020/07/01
481044938|250000|2020/08/01
481044938|250000|2020/09/01
481044938|250000|2020/10/01
481044938|250000|2020/11/01
481044938|250000|2020/12/01
615389812|250000|2020/03/01
615389812|250000|2020/04/01
615389812|250000|2020/07/01
615389812|250000|2020/08/01
615389812|250000|2020/09/01
615389812|250000|2020/10/01
615389812|250000|2020/11/01
615389812|250000|2020/12/01
668991357|250000|2020/07/01
668991357|250000|2020/08/01
668991357|250000|2020/11/01
716374314|250000|2020/07/01
716374314|250000|2020/08/01
716374314|250000|2020/09/01
716374314|250000|2020/10/01
716374314|250000|2020/11/01
758596752|250000|2020/07/01
758596752|250000|2020/08/01
758596752|250000|2020/09/01
758596752|250000|2020/10/01
758596752|250000|2020/11/01
758596752|250000|2020/12/01
954276278|250000|2020/07/01
954276278|250000|2020/08/01
954276278|250000|2020/09/01
954276278|250000|2020/10/01
954276278|250000|2020/11/01
954276278|250000|2020/12/01
982310417|250000|2020/07/01
987554265|250000|2020/01/01
987554265|250000|2020/07/01
134219713|250000|2021/01/01
234474252|250000|2021/01/01
615389812|250000|2021/01/01
615389812|250000|2021/02/01
668991357|250000|2021/01/01
716374314|250000|2021/01/01
716374314|250000|2021/02/01
716374314|250000|2021/03/01
716374314|250000|2021/04/01
716374314|250000|2021/05/01
716374314|250000|2021/06/01
61161660|400000|2017/08/01
61161660|600000|2017/09/01
61161660|400000|2017/10/01
61161660|800000|2017/11/01
61161660|800000|2017/12/01
90836195|100000|2017/07/01
90836195|300000|2017/09/01
90836195|400000|2017/10/01
90836195|400000|2017/11/01
112432117|1500000|2017/08/01
112432117|2200000|2017/11/01
112432117|1750000|2017/12/01
139397894|100000|2017/07/01
139397894|300000|2017/09/01
139397894|300000|2017/10/01
139397894|300000|2017/11/01
191644724|100000|2017/07/01
191644724|450000|2017/08/01
191644724|750000|2017/11/01
191644724|750000|2017/12/01
234474252|100000|2017/07/01
234474252|300000|2017/09/01
234474252|300000|2017/10/01
234474252|300000|2017/11/01
234474252|300000|2017/12/01
399771412|100000|2017/07/01
399771412|300000|2017/09/01
399771412|300000|2017/10/01
399771412|300000|2017/11/01
399771412|300000|2017/12/01
502097814|1500000|2017/08/01
502097814|2200000|2017/11/01
502097814|1750000|2017/12/01
615389812|100000|2017/08/01
615389812|100000|2017/09/01
615389812|100000|2017/10/01
716374314|100000|2017/07/01
716374314|300000|2017/09/01
716374314|100000|2017/10/01
716374314|300000|2017/11/01
841560125|100000|2017/07/01
841560125|400000|2017/09/01
841560125|400000|2017/10/01
987554265|100000|2017/07/01
987554265|300000|2017/09/01
987554265|400000|2017/10/01
987554265|400000|2017/11/01
61161660|750000|2018/05/01
61161660|1250000|2018/06/01
61161660|700000|2018/07/01
61161660|1250000|2018/08/01
61161660|1750000|2018/09/01
61161660|600000|2018/10/01
61161660|1750000|2018/12/01
90836195|100000|2018/01/01
90836195|300000|2018/03/01
90836195|100000|2018/04/01
90836195|400000|2018/06/01
90836195|300000|2018/07/01
90836195|300000|2018/08/01
90836195|350000|2018/11/01
90836195|350000|2018/12/01
112432117|650000|2018/01/01
112432117|1750000|2018/02/01
112432117|1500000|2018/03/01
112432117|750000|2018/04/01
112432117|2000000|2018/05/01
112432117|1500000|2018/06/01
112432117|1850000|2018/07/01
112432117|3200000|2018/08/01
112432117|2850000|2018/09/01
112432117|1700000|2018/10/01
112432117|3000000|2018/11/01
112432117|2000000|2018/12/01
134219713|75000|2018/07/01
134219713|150000|2018/08/01
134219713|50000|2018/10/01
134219713|150000|2018/11/01
134219713|50000|2018/12/01
139397894|100000|2018/01/01
139397894|300000|2018/03/01
139397894|400000|2018/05/01
191644724|100000|2018/01/01
191644724|750000|2018/05/01
191644724|400000|2018/06/01
191644724|800000|2018/07/01
191644724|1200000|2018/08/01
191644724|1200000|2018/09/01
191644724|800000|2018/10/01
191644724|800000|2018/11/01
191644724|800000|2018/12/01
234474252|150000|2018/01/01
234474252|175000|2018/02/01
234474252|225000|2018/04/01
234474252|225000|2018/06/01
399771412|150000|2018/01/01
399771412|175000|2018/02/01
399771412|225000|2018/04/01
399771412|225000|2018/06/01
502097814|650000|2018/01/01
502097814|1750000|2018/02/01
502097814|1500000|2018/03/01
502097814|750000|2018/04/01
502097814|2000000|2018/05/01
502097814|1500000|2018/06/01
502097814|1750000|2018/07/01
502097814|2950000|2018/08/01
502097814|2650000|2018/09/01
502097814|1500000|2018/10/01
502097814|2500000|2018/11/01
502097814|1750000|2018/12/01
615389812|50000|2018/01/01
615389812|150000|2018/02/01
615389812|150000|2018/03/01
615389812|50000|2018/04/01
615389812|300000|2018/08/01
615389812|150000|2018/12/01
668991357|300000|2018/08/01
668991357|400000|2018/09/01
668991357|100000|2018/10/01
668991357|300000|2018/11/01
716374314|150000|2018/01/01
716374314|150000|2018/02/01
716374314|150000|2018/03/01
716374314|150000|2018/04/01
716374314|150000|2018/07/01
841560125|300000|2018/01/01
841560125|400000|2018/02/01
841560125|600000|2018/05/01
841560125|750000|2018/07/01
841560125|850000|2018/08/01
841560125|750000|2018/09/01
841560125|800000|2018/10/01
982310417|300000|2018/08/01
982310417|400000|2018/09/01
982310417|100000|2018/10/01
982310417|300000|2018/11/01
987554265|100000|2018/01/01
987554265|300000|2018/02/01
987554265|100000|2018/04/01
987554265|450000|2018/05/01
987554265|175000|2018/06/01
987554265|300000|2018/07/01
987554265|550000|2018/11/01
987554265|150000|2018/12/01
61161660|800000|2019/01/01
61161660|800000|2019/02/01
61161660|600000|2019/04/01
61161660|1200000|2019/05/01
61161660|800000|2019/06/01
61161660|1200000|2019/07/01
61161660|1400000|2019/08/01
61161660|1500000|2019/09/01
90836195|100000|2019/01/01
90836195|300000|2019/05/01
90836195|300000|2019/06/01
90836195|300000|2019/07/01
90836195|400000|2019/08/01
90836195|300000|2019/10/01
90836195|400000|2019/11/01
112432117|2000000|2019/02/01
112432117|1750000|2019/03/01
112432117|1750000|2019/04/01
112432117|1750000|2019/05/01
112432117|1750000|2019/06/01
112432117|2500000|2019/07/01
112432117|4000000|2019/08/01
112432117|30000000|2019/09/01
112432117|2000000|2019/10/01
112432117|3500000|2019/11/01
112432117|3500000|2019/12/01
134219713|25000|2019/01/01
134219713|50000|2019/02/01
134219713|50000|2019/03/01
134219713|50000|2019/04/01
134219713|100000|2019/05/01
134219713|100000|2019/06/01
134219713|50000|2019/07/01
134219713|700000|2019/08/01
134219713|50000|2019/09/01
134219713|50000|2019/10/01
134219713|100000|2019/12/01
139397894|300000|2019/04/01
139397894|750000|2019/05/01
139397894|650000|2019/06/01
139397894|9000000|2019/08/01
139397894|800000|2019/09/01
139397894|700000|2019/10/01
139397894|600000|2019/11/01
191644724|400000|2019/01/01
191644724|600000|2019/03/01
191644724|700000|2019/04/01
191644724|800000|2019/05/01
191644724|900000|2019/06/01
191644724|900000|2019/09/01
191644724|800000|2019/10/01
191644724|700000|2019/11/01
191644724|600000|2019/12/01
234474252|350000|2019/02/01
234474252|350000|2019/03/01
234474252|450000|2019/04/01
234474252|450000|2019/05/01
234474252|450000|2019/06/01
234474252|550000|2019/08/01
234474252|750000|2019/09/01
234474252|400000|2019/11/01
234474252|650000|2019/12/01
399771412|300000|2019/02/01
399771412|400000|2019/03/01
399771412|450000|2019/04/01
399771412|450000|2019/05/01
399771412|400000|2019/06/01
399771412|600000|2019/09/01
399771412|400000|2019/11/01
481044938|25000|2019/07/01
481044938|50000|2019/08/01
481044938|75000|2019/09/01
481044938|50000|2019/10/01
481044938|100000|2019/11/01
502097814|1250000|2019/01/01
502097814|1500000|2019/02/01
502097814|1500000|2019/03/01
502097814|1750000|2019/04/01
502097814|2000000|2019/05/01
502097814|2000000|2019/07/01
502097814|2500000|2019/08/01
502097814|3000000|2019/09/01
502097814|2000000|2019/10/01
502097814|2500000|2019/11/01
502097814|2500000|2019/12/01
615389812|100000|2019/01/01
615389812|100000|2019/03/01
615389812|100000|2019/04/01
615389812|300000|2019/08/01
615389812|300000|2019/09/01
615389812|100000|2019/10/01
615389812|300000|2019/11/01
615389812|325000|2019/12/01
668991357|50000|2019/01/01
668991357|150000|2019/02/01
668991357|100000|2019/04/01
668991357|150000|2019/05/01
668991357|700000|2019/09/01
668991357|700000|2019/10/01
716374314|100000|2019/01/01
716374314|150000|2019/02/01
716374314|150000|2019/05/01
716374314|100000|2019/06/01
716374314|100000|2019/07/01
716374314|300000|2019/09/01
716374314|100000|2019/10/01
716374314|350000|2019/12/01
758596752|50000|2019/07/01
758596752|50000|2019/08/01
758596752|50000|2019/09/01
758596752|50000|2019/10/01
758596752|75000|2019/11/01
758596752|100000|2019/12/01
841560125|750000|2019/02/01
841560125|750000|2019/04/01
841560125|750000|2019/06/01
954276278|150000|2019/07/01
954276278|300000|2019/08/01
954276278|100000|2019/09/01
954276278|150000|2019/10/01
954276278|150000|2019/11/01
982310417|50000|2019/01/01
982310417|150000|2019/02/01
982310417|100000|2019/04/01
982310417|150000|2019/05/01
982310417|300000|2019/07/01
982310417|800000|2019/11/01
987554265|100000|2019/01/01
987554265|300000|2019/02/01
987554265|150000|2019/04/01
987554265|350000|2019/05/01
987554265|150000|2019/06/01
987554265|300000|2019/07/01
987554265|850000|2019/08/01
987554265|400000|2019/11/01
987554265|600000|2019/12/01
61161660|850000|2020/01/01
61161660|950000|2020/02/01
61161660|1050000|2020/03/01
61161660|950000|2020/04/01
61161660|850000|2020/05/01
61161660|1250000|2020/06/01
61161660|1250000|2020/07/01
61161660|1500000|2020/08/01
61161660|1750000|2020/09/01
90836195|300000|2020/01/01
90836195|400000|2020/02/01
90836195|400000|2020/03/01
112432117|1500000|2020/01/01
112432117|2000000|2020/02/01
112432117|2500000|2020/03/01
112432117|2000000|2020/04/01
112432117|3000000|2020/05/01
112432117|3500000|2020/06/01
112432117|2750000|2020/07/01
112432117|4500000|2020/08/01
112432117|33000000|2020/09/01
112432117|2250000|2020/10/01
112432117|3750000|2020/11/01
112432117|3750000|2020/12/01
134219713|300000|2020/02/01
134219713|300000|2020/04/01
134219713|300000|2020/06/01
134219713|750000|2020/08/01
139397894|400000|2020/01/01
139397894|600000|2020/03/01
139397894|700000|2020/04/01
139397894|800000|2020/05/01
139397894|900000|2020/06/01
139397894|10000000|2020/08/01
139397894|750000|2020/10/01
139397894|750000|2020/11/01
191644724|600000|2020/02/01
191644724|800000|2020/03/01
191644724|900000|2020/04/01
191644724|850000|2020/06/01
191644724|750000|2020/11/01
191644724|750000|2020/12/01
234474252|300000|2020/02/01
234474252|400000|2020/03/01
234474252|400000|2020/05/01
234474252|300000|2020/06/01
234474252|750000|2020/09/01
234474252|750000|2020/12/01
399771412|300000|2020/02/01
399771412|350000|2020/03/01
399771412|400000|2020/04/01
399771412|450000|2020/05/01
399771412|750000|2020/09/01
481044938|25000|2020/01/01
481044938|50000|2020/02/01
481044938|100000|2020/03/01
481044938|100000|2020/04/01
481044938|100000|2020/05/01
481044938|150000|2020/06/01
502097814|1250000|2020/01/01
502097814|1500000|2020/02/01
502097814|2000000|2020/03/01
502097814|2000000|2020/04/01
502097814|2500000|2020/05/01
502097814|2500000|2020/06/01
502097814|2250000|2020/07/01
502097814|2750000|2020/08/01
502097814|3250000|2020/09/01
502097814|2250000|2020/10/01
502097814|2750000|2020/11/01
502097814|2750000|2020/12/01
615389812|100000|2020/01/01
615389812|300000|2020/05/01
615389812|300000|2020/06/01
668991357|50000|2020/01/01
668991357|100000|2020/04/01
668991357|750000|2020/05/01
668991357|750000|2020/06/01
668991357|750000|2020/09/01
668991357|750000|2020/10/01
758596752|100000|2020/01/01
758596752|10000|2020/02/01
758596752|100000|2020/03/01
758596752|100000|2020/04/01
758596752|100000|2020/05/01
758596752|100000|2020/06/01
841560125|300000|2020/01/01
841560125|400000|2020/02/01
841560125|600000|2020/04/01
841560125|700000|2020/05/01
841560125|800000|2020/06/01
954276278|100000|2020/01/01
954276278|150000|2020/02/01
954276278|150000|2020/03/01
954276278|150000|2020/04/01
954276278|150000|2020/05/01
982310417|750000|2020/04/01
987554265|350000|2020/02/01
987554265|450000|2020/03/01
987554265|400000|2020/04/01
987554265|600000|2020/06/01
987554265|750000|2020/12/01
61161660|1500000|2021/06/01
61161660|1500000|2021/07/01
61161660|1500000|2021/08/01
61161660|2000000|2021/09/01
112432117|1500000|2021/01/01
112432117|2000000|2021/02/01
112432117|3000000|2021/03/01
112432117|2000000|2021/04/01
112432117|3500000|2021/05/01
112432117|4000000|2021/06/01
112432117|3000000|2021/07/01
112432117|5000000|2021/08/01
112432117|36500000|2021/09/01
112432117|2500000|2021/10/01
112432117|4000000|2021/11/01
112432117|4000000|2021/12/01
139397894|11000000|2021/08/01
481044938|25000|2021/01/01
481044938|50000|2021/02/01
481044938|75000|2021/03/01
481044938|100000|2021/04/01
481044938|125000|2021/05/01
481044938|150000|2021/06/01
502097814|1500000|2021/01/01
502097814|1500000|2021/02/01
502097814|2000000|2021/03/01
502097814|2000000|2021/04/01
502097814|3000000|2021/05/01
502097814|3000000|2021/06/01
502097814|2500000|2021/07/01
502097814|3000000|2021/08/01
502097814|3500000|2021/09/01
502097814|2500000|2021/10/01
502097814|3000000|2021/11/01
502097814|3000000|2021/12/01
668991357|75000|2021/04/01
758596752|75000|2021/01/01
758596752|100000|2021/02/01
758596752|125000|2021/03/01
758596752|150000|2021/04/01
758596752|175000|2021/05/01
954276278|50000|2021/01/01
954276278|75000|2021/02/01
954276278|100000|2021/03/01
954276278|125000|2021/04/01
954276278|150000|2021/05/01
954276278|175000|2021/06/01
